online_rec,better_asr
"asr_text1: 这个今天这个聚丙烯的这个盘面你怎么看？又大涨又有有有所回落。你看预测一下夜盘可以吗？
asr_text2: 这个今天这个聚丙烯的这个盘面你怎么看？嗯又大涨，又有又有所回落。嗯你看预测一下夜盘可以吗",第一个更好
"asr_text1: 盘前挂单，意愿买单是 89.55，是这个数据是准确的吗？
asr_text2: 盘前挂单医院买单是89.55，是这个数据是准确的吗",第一个更好
"asr_text1: 有没有类似于勤耕雨读，得闲饮茶这种类型的散文集？
asr_text2: 有没有类似于《晴耕雨读》、《得闲饮茶》这种类型的散文集",第二个更好
"asr_text1: 不是这个意思，是我发给你的两张图片。第一张图片里边满背的右边是不是有一个鹤，有一个仙鹤，左边是空的。我要求是把我发给你的第二张大日如来放在那个空的，满背左边空的那一块。
asr_text2: 不是这个意思，是我发给你的两张图片，第一张图片里边满背的右边是不是有一个鹤？有一个仙鹤左边是空。空的，我要求是把我发给你的第二张大日如来放在那个空的满背左边空的那块",第一个更好
"asr_text1: 30×33 等于多少？
asr_text2: 30×33=",第一个更好
"asr_text1: 山姆褪黑素实体店有货吗？
asr_text2: 萨姆褪黑素实体店有货吗",第一个更好
"asr_text1: E 的 X 方加 X 减一等于零，帮我解这个方程。
asr_text2: \\(e^x^+x-1=0\\)帮我解这个方程",第一个更好
"asr_text1: 也有这个资深的纪委书记表示呢，工作清单为这个纪委工作立规矩、明路径，让这个每一项工作吧，有章可循、有据可依。然后也是常学常新，然后能够这个及时了解这个最新的这个政策要求，很好的明白这个政策路径，然后更好的指导这个实践工作，为新一年的要点嘛指明了方向。同时呢，拿着这份工作清单开展工作的时候，既有抓手又有底气。然后真正得到了这个一把手和领导班子的这个理解和支持，然后让齐抓共管的这个工作思路更开阔，大概这个意思表达成一小段话。
asr_text2: 也有这个资深的纪委书记表示呢，工作清单为这个纪委工作立规矩、明路径，让这个每一项工作吧有章可循、有据可依。然后嗯也是常学常新，然后能够这个及时了解这个最新的这个呃政策要求，很好的明白这个政策路径，然后嗯，更好的指导这个实践工作，为新一年的要点嘛，指明了方向。同时呢拿着这份工资清单开展工作的时候。啊既有抓手又有底气，然后真正得到了这个啊一把手和领导班子的这个呃理解和支持，然后让齐抓共管的这个工作思路更开阔，大概这个意思表达成一小段。说话",第一个更好
"asr_text1: 宋平，不是宋平。
asr_text2: 锁屏不是锁屏",第一个更好
"asr_text1: 如何如何在电脑中安装 OpenClaw 大龙虾。
asr_text2: 如何如何在电脑中安装OpenCloud？大龙虾",第一个更好
"asr_text1: 匹布瑞酮对肝脏损害大不大？
asr_text2: 替普瑞酮对肝脏损害大不大",第二个更好
"asr_text1: 帮我生成一个，两个小学生在吵架，另一个另一个另一个小学生说，我哥是少羽。然后拿着一盆水泥，还有一双筷子，说我拿筷子夹水泥，我 c 你老母。
asr_text2: 帮我生成一个两个小学生在吵架，另一个、另一个、另一个小学生说我哥是手语，然后拿着一杯水泥，还有一双筷子说。我拿筷子夹住你，我塞你老母",第一个更好
"asr_text1: 最强大的棒棒和一个最强大的石头合体后变成什么东西？还会打什么东西？
asr_text2: 最强大的棒棒和一个最强大的石头合体会变成什么东西？还会打什什么东西",第一个更好
"asr_text1: 有的时候哈，就是说关掉这个全店推广以后，好像这个自然订单也有一些的。好像推广推广的订单，就是推广多出来的订单好像并不满意，就自然流也有一些订单。
asr_text2: 有的时候哈就是说关掉这个全站推广以后，好像这个自然订单也有一些的，好像推广推广的订单嗯就说推广多出来的订单好像并不满意，就自然流也有一些订单",第二个更好
"asr_text1: 《大长今》的方歌。
asr_text2: 大成气的方转",都不好
"asr_text1: 窦性心率
asr_text2: 窦性心律",第二个更好
"asr_text1: 什么是褐家鼠？
asr_text2: 什么是贺家鼠",第一个更好
"asr_text1: 复制粘贴是哪个键盘呐？
asr_text2: 复制粘贴是哪个键盘啊",第一个更好
"asr_text1: 阴历一九七一年冬月十日。
asr_text2: 阴历1971年冬月12日子。笛子属啥？属笛子",都不好
"asr_text1: 用来认字，不是。
asr_text2: 呃用来认字",第一个更好
"asr_text1: 等我生成了那个什么，哥斯拉打奥特曼的视频。
asr_text2: 给我生成了那个什么嗯哥斯拉打奥特曼的视频",第二个更好
"asr_text1: 339 电视。
asr_text2: 三三九电子",第一个更好
"asr_text1: 感觉自己的脸越长越歪了怎么办？
asr_text2: 一点点院长又歪了怎么办",第一个更好
"asr_text1: 220 分之 121 等于多少？
asr_text2: 220÷121=",第一个更好
"asr_text1: Openharmony 是哪个公司的产品？
asr_text2: OpenClaw是哪个公司的产品",第二个更好
"asr_text1: 鸡心可以吃，不是。
asr_text2: 鸡心可以吃",第一个更好
"asr_text1: 浦项制铁对阵仁川联。
asr_text2: 朴相纸贴对着人串联",第一个更好
"asr_text1: 对我提的要求是有一个意思来的。
asr_text2: 这我地道的是有一个意思来的",都不好
"asr_text1: 那电子布到底目前缺不缺货呢？然后 A 股市场上跟电子布相关的公司，比如中国巨石啊、国际复材啊，现在目前是高估还是低估呢？
asr_text2: 那电子部到底目前缺不缺货呢？然后A股市场上跟电子部相关的公司，比如中国巨石啊、国际复材啊，现在目前是高估还是低估呢",第一个更好
"asr_text1: 重庆三峡银行是国债承销团成员吗？还有华福证券是国债承销的成员吗？
asr_text2: 重庆三峡银行是国债承销团成员吗？还有华福证券是国债成员的成员吗",第一个更好
"asr_text1: 那刚刚的平十法怎么圈？
asr_text2: 那刚刚的平时法怎么圈",第一个更好
"asr_text1: 那你的意思就是我长得丑丑了。
asr_text2: 那你的意思就是我长得丑了",都不好
"asr_text1: 马来西亚会不会是下一个被美国打的？
asr_text2: 马兰西亚会不会是下一个被美国打的",第一个更好
"asr_text1: 问一下，那个我停车场现在，就打那个半夜 12 点到到现在出去几台车了？
asr_text2: 问一下，那个我停车场现在就打那个嗯半夜。12点都到现在出去几台车了",第一个更好
"asr_text1: 跑腿，他们转完钱不给他们转会怎么样？
asr_text2: 宝贝，他们转完钱不给他们转会怎么样",第一个更好
"asr_text1: 202÷5 约等于几？
asr_text2: 202÷5≈",第一个更好
"asr_text1: 网络语 18 加两笔是什么意思？
asr_text2: 网络语18+2是什么意思",第一个更好
"asr_text1: 帮我挑一篇最好的。
asr_text2: 帮我调一篇最好的",第一个更好
"asr_text1: 什么叫中耳炎？
asr_text2: 什么叫种日烟",第一个更好
"asr_text1: 好吧，我真求你了。我的意思，哦，说错了。就意思差不多是三行，三行多一点，不到四行。
asr_text2: 好吧我真求你了，我的意思哦我说错了，就意思差不多是三行三行多一点不到四行",第一个更好
